id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,lic,q,length,time,date,uploaded,rmk,bird-seen,playback-used
112398,Accipiter,trinotatus,,Spot-tailed Sparrowhawk,Yong Ding Li,Indonesia,Gunung Rorekautimbu; Central Sulawesi,-1.3184,120.4692,1700,call,//www.xeno-canto.org/112398,//www.xeno-canto.org/112398/download,//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:40,07:00,2012-06-04,2012-11-06,,unknown,unknown
88237,Accipiter,trinotatus,,Spot-tailed Sparrowhawk,Frank Lambert,Indonesia,Sulawesi; Lore Lindu NP; above Anaso,-1.5198,120.1801,1900,single note calls,//www.xeno-canto.org/88237,//www.xeno-canto.org/88237/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:14,07:05,2011-08-10,2011-10-08,confirmed by sighting,unknown,unknown
88236,Accipiter,trinotatus,,Spot-tailed Sparrowhawk,Frank Lambert,Indonesia,Sulawesi; Lore Lindu NP; above Anaso,-1.5198,120.1801,1900,single note calls,//www.xeno-canto.org/88236,//www.xeno-canto.org/88236/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:22,07:00,2011-08-10,2011-10-08,,unknown,unknown
41254,Accipiter,trinotatus,,Spot-tailed Sparrowhawk,Yong Ding Li,Indonesia,Gunung Rorekautimbu; Central Sulawesi,-1.3184,120.4692,2300,call,//www.xeno-canto.org/41254,//www.xeno-canto.org/41254/download,//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:34,07.30,2009-12-07,2009-12-10,,unknown,unknown
189871,Accipiter,trinotatus,,Spot-tailed Sparrowhawk,Jerome Micheletta,Indonesia,Tangkoko Nature Reserve; Sulawesi,1.5106,125.195,650,call,//www.xeno-canto.org/189871,//www.xeno-canto.org/189871/download,//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:03,07:00,2010-10-30,2014-08-06,There are macaque vocalisations in the background; sorry about that but I was recording the macaques!,no,no
120970,Accipiter,trinotatus,,Spot-tailed Sparrowhawk,Niels Poul Dreyer,Indonesia,Dumoga Bone National Park; Sulawesi,0.5606,123.68,1300,call,//www.xeno-canto.org/120970,//www.xeno-canto.org/120970/download,//creativecommons.org/licenses/by-nc-sa/3.0/,C,0:08,15:30,1989-07-20,2013-02-03,,yes,yes
498780,Accipiter,hiogaster,leucosomus,Variable Goshawk,Marc Anderson,Indonesia,near Malagufuk; Klasow Valley; Sorong; Papua Barat,-0.8052,131.6433,100,song,//www.xeno-canto.org/498780,//www.xeno-canto.org/498780/download,//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:37,09:00,2019-08-19,2019-09-23,,no,unknown
66104,Accipiter,hiogaster,polionotus,Variable Goshawk,Colin Trainor,Indonesia,Saumlaki town; Yamdena; Tanimbar,-7.9337073699396,131.30433654995,100,call,//www.xeno-canto.org/66104,//www.xeno-canto.org/66104/download,//creativecommons.org/licenses/by-nc-nd/2.5/,A,1:32,08:00,2001-08-05,2010-12-06,ust 1 km from the edge of Saumlaki,unknown,unknown
413611,Accipiter,hiogaster,griseogularis,Variable Goshawk,Frank Lambert,Indonesia,north of Weda Resort; Central Halmahera; North Maluku (approx location),0.4582,127.8824,120,call,//www.xeno-canto.org/413611,//www.xeno-canto.org/413611/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:45,15:48,2017-08-16,2018-05-04,Same bird as XC413610,yes,no
413610,Accipiter,hiogaster,griseogularis,Variable Goshawk,Frank Lambert,Indonesia,north of Weda Resort; Central Halmahera; North Maluku (approx location),0.4582,127.8824,120,call,//www.xeno-canto.org/413610,//www.xeno-canto.org/413610/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:41,15:39,2017-08-16,2018-05-04,,yes,no
